n,pts_time,fps,frame_idx
1,0.08,25.0,2
2,0.44,25.0,11
3,1.08,25.0,27
4,1.68,25.0,42
5,4.12,25.0,103
6,9.16,25.0,229
7,14.16,25.0,354
8,16.68,25.0,417
9,17.52,25.0,438
10,18.32,25.0,458
11,19.08,25.0,477
12,19.92,25.0,498
13,20.76,25.0,519
14,21.56,25.0,539
15,22.52,25.0,563
16,23.44,25.0,586
17,24.16,25.0,604
18,24.84,25.0,621
19,25.48,25.0,637
20,26.0,25.0,650
21,26.56,25.0,664
22,27.08,25.0,677
23,27.96,25.0,699
24,29.0,25.0,725
25,30.04,25.0,751
26,31.04,25.0,776
27,32.0,25.0,800
28,33.12,25.0,828
29,34.0,25.0,850
30,34.68,25.0,867
31,35.32,25.0,883
32,38.56,25.0,964
33,45.4,25.0,1135
34,52.2,25.0,1305
35,57.16,25.0,1429
36,61.84,25.0,1546
37,66.48,25.0,1662
38,69.4,25.0,1735
39,71.56,25.0,1789
40,73.68,25.0,1842
41,75.24,25.0,1881
42,76.76,25.0,1919
43,78.24,25.0,1956
44,79.4,25.0,1985
45,80.64,25.0,2016
46,81.84,25.0,2046
47,83.52,25.0,2088
48,86.24,25.0,2156
49,88.92,25.0,2223
50,90.8,25.0,2270
51,92.44,25.0,2311
52,94.04,25.0,2351
53,96.12,25.0,2403
54,99.28,25.0,2482
55,102.4,25.0,2560
56,104.64,25.0,2616
57,106.6,25.0,2665
58,108.56,25.0,2714
59,110.04,25.0,2751
60,111.44,25.0,2786
61,112.84,25.0,2821
62,113.68,25.0,2842
63,114.2,25.0,2855
64,114.68,25.0,2867
65,115.24,25.0,2881
66,115.96,25.0,2899
67,116.64,25.0,2916
68,117.44,25.0,2936
69,118.56,25.0,2964
70,119.64,25.0,2991
71,120.48,25.0,3012
72,121.32,25.0,3033
73,122.12,25.0,3053
74,122.84,25.0,3071
75,123.6,25.0,3090
76,124.32,25.0,3108
77,129.6,25.0,3240
78,141.0,25.0,3525
79,152.36,25.0,3809
80,157.84,25.0,3946
81,158.64,25.0,3966
82,159.24,25.0,3981
83,159.8,25.0,3995
84,160.48,25.0,4012
85,161.32,25.0,4033
86,162.16,25.0,4054
87,162.88,25.0,4072
88,163.64,25.0,4091
89,164.36,25.0,4109
90,165.28,25.0,4132
91,166.6,25.0,4165
92,167.88,25.0,4197
93,168.92,25.0,4223
94,170.12,25.0,4253
95,171.92,25.0,4298
96,173.68,25.0,4342
97,175.44,25.0,4386
98,177.72,25.0,4443
99,179.96,25.0,4499
100,181.92,25.0,4548
101,184.12,25.0,4603
102,186.28,25.0,4657
103,189.48,25.0,4737
104,194.68,25.0,4867
105,199.84,25.0,4996
106,202.88,25.0,5072
107,204.72,25.0,5118
108,206.52,25.0,5163
109,208.08,25.0,5202
110,209.8,25.0,5245
111,211.48,25.0,5287
112,213.0,25.0,5325
113,214.8,25.0,5370
114,216.56,25.0,5414
115,218.08,25.0,5452
116,219.8,25.0,5495
117,221.48,25.0,5537
118,222.72,25.0,5568
119,223.8,25.0,5595
120,224.84,25.0,5621
121,226.0,25.0,5650
122,227.6,25.0,5690
123,229.16,25.0,5729
124,233.36,25.0,5834
125,241.6,25.0,6040
126,249.8,25.0,6245
127,253.88,25.0,6347
128,255.2,25.0,6380
129,256.48,25.0,6412
130,257.32,25.0,6433
131,257.88,25.0,6447
132,258.44,25.0,6461
133,259.0,25.0,6475
134,259.68,25.0,6492
135,260.32,25.0,6508
136,261.24,25.0,6531
137,262.48,25.0,6562
138,264.0,25.0,6600
139,265.48,25.0,6637
140,266.36,25.0,6659
141,266.84,25.0,6671
142,267.28,25.0,6682
143,267.96,25.0,6699
144,268.84,25.0,6721
145,269.84,25.0,6746
146,270.8,25.0,6770
147,271.6,25.0,6790
148,272.44,25.0,6811
149,273.24,25.0,6831
150,274.2,25.0,6855
151,275.28,25.0,6882
152,276.44,25.0,6911
153,277.96,25.0,6949
154,279.44,25.0,6986
155,280.52,25.0,7013
156,281.48,25.0,7037
157,282.4,25.0,7060
158,283.16,25.0,7079
159,283.96,25.0,7099
160,284.72,25.0,7118
161,285.56,25.0,7139
162,286.44,25.0,7161
163,287.48,25.0,7187
164,288.48,25.0,7212
165,289.16,25.0,7229
166,289.64,25.0,7241
167,290.08,25.0,7252
168,290.96,25.0,7274
169,292.44,25.0,7311
170,293.88,25.0,7347
171,295.52,25.0,7388
172,297.84,25.0,7446
173,300.12,25.0,7503
174,301.64,25.0,7541
175,302.84,25.0,7571
176,304.0,25.0,7600
177,304.92,25.0,7623
178,305.6,25.0,7640
179,306.32,25.0,7658
180,307.0,25.0,7675
181,307.64,25.0,7691
182,308.44,25.0,7711
183,309.68,25.0,7742
184,310.88,25.0,7772
185,311.64,25.0,7791
186,312.2,25.0,7805
187,312.72,25.0,7818
188,313.84,25.0,7846
189,315.92,25.0,7898
190,317.96,25.0,7949
191,319.16,25.0,7979
192,321.24,25.0,8031
193,325.4,25.0,8135
194,329.52,25.0,8238
195,331.56,25.0,8289
196,332.12,25.0,8303
197,332.64,25.0,8316
198,333.28,25.0,8332
199,334.2,25.0,8355
200,335.08,25.0,8377
201,335.88,25.0,8397
202,336.76,25.0,8419
203,337.6,25.0,8440
204,338.28,25.0,8457
205,338.92,25.0,8473
206,339.52,25.0,8488
207,340.0,25.0,8500
208,340.4,25.0,8510
209,340.96,25.0,8524
210,341.48,25.0,8537
211,342.24,25.0,8556
212,343.4,25.0,8585
213,344.52,25.0,8613
214,345.56,25.0,8639
215,346.76,25.0,8669
216,348.4,25.0,8710
217,350.0,25.0,8750
218,351.08,25.0,8777
219,351.88,25.0,8797
220,352.64,25.0,8816
221,353.4,25.0,8835
222,354.24,25.0,8856
223,355.08,25.0,8877
224,356.56,25.0,8914
225,359.08,25.0,8977
226,361.6,25.0,9040
227,363.68,25.0,9092
228,365.96,25.0,9149
229,368.2,25.0,9205
230,369.64,25.0,9241
231,370.6,25.0,9265
232,371.52,25.0,9288
233,372.28,25.0,9307
234,373.04,25.0,9326
235,373.76,25.0,9344
236,374.44,25.0,9361
237,375.28,25.0,9382
238,376.08,25.0,9402
239,376.8,25.0,9420
240,377.56,25.0,9439
241,378.28,25.0,9457
242,379.28,25.0,9482
243,380.2,25.0,9505
244,380.96,25.0,9524
245,381.68,25.0,9542
246,382.24,25.0,9556
247,382.72,25.0,9568
248,383.16,25.0,9579
249,383.92,25.0,9598
250,385.08,25.0,9627
251,386.2,25.0,9655
252,390.4,25.0,9760
253,399.0,25.0,9975
254,407.56,25.0,10189
255,412.0,25.0,10300
256,413.72,25.0,10343
257,415.4,25.0,10385
258,416.92,25.0,10423
259,418.64,25.0,10466
260,420.32,25.0,10508
261,421.84,25.0,10546
262,423.64,25.0,10591
263,425.4,25.0,10635
264,427.04,25.0,10676
265,429.12,25.0,10728
266,431.16,25.0,10779
267,433.6,25.0,10840
268,437.16,25.0,10929
269,440.68,25.0,11017
270,442.6,25.0,11065
271,443.44,25.0,11086
272,444.24,25.0,11106
273,444.88,25.0,11122
274,445.52,25.0,11138
275,446.12,25.0,11153
276,446.64,25.0,11166
277,447.2,25.0,11180
278,447.72,25.0,11193
279,448.36,25.0,11209
280,449.28,25.0,11232
281,450.16,25.0,11254
282,450.84,25.0,11271
283,451.4,25.0,11285
284,451.96,25.0,11299
285,452.56,25.0,11314
286,453.36,25.0,11334
287,454.12,25.0,11353
288,454.8,25.0,11370
289,455.56,25.0,11389
290,456.28,25.0,11407
291,457.04,25.0,11426
292,458.04,25.0,11451
293,459.0,25.0,11475
294,459.84,25.0,11496
295,460.72,25.0,11518
296,461.56,25.0,11539
297,462.4,25.0,11560
298,463.4,25.0,11585
299,464.36,25.0,11609
300,465.16,25.0,11629
301,465.92,25.0,11648
302,466.64,25.0,11666
303,467.4,25.0,11685
304,468.36,25.0,11709
305,469.28,25.0,11732
306,470.0,25.0,11750
307,470.76,25.0,11769
308,471.48,25.0,11787
309,472.2,25.0,11805
310,473.08,25.0,11827
311,473.92,25.0,11848
312,474.6,25.0,11865
313,475.2,25.0,11880
314,475.76,25.0,11894
315,476.68,25.0,11917
316,478.16,25.0,11954
317,479.6,25.0,11990
318,481.8,25.0,12045
319,485.4,25.0,12135
320,488.96,25.0,12224
321,491.28,25.0,12282
322,493.08,25.0,12327
323,494.84,25.0,12371
324,496.36,25.0,12409
325,498.12,25.0,12453
326,499.84,25.0,12496
327,501.48,25.0,12537
328,503.48,25.0,12587
329,505.44,25.0,12636
330,506.56,25.0,12664
331,507.08,25.0,12677
332,507.56,25.0,12689
333,508.28,25.0,12707
334,509.36,25.0,12734
335,510.4,25.0,12760
336,511.28,25.0,12782
337,512.12,25.0,12803
338,512.96,25.0,12824
339,513.76,25.0,12844
340,514.8,25.0,12870
341,515.8,25.0,12895
342,516.64,25.0,12916
343,517.48,25.0,12937
344,518.32,25.0,12958
345,520.08,25.0,13002
346,523.28,25.0,13082
347,526.44,25.0,13161
348,528.12,25.0,13203
349,528.76,25.0,13219
350,529.36,25.0,13234
351,530.08,25.0,13252
352,531.12,25.0,13278
353,532.12,25.0,13303
354,532.84,25.0,13321
355,533.52,25.0,13338
356,534.16,25.0,13354
357,534.8,25.0,13370
358,535.64,25.0,13391
359,536.44,25.0,13411
360,537.2,25.0,13430
361,538.08,25.0,13452
362,538.92,25.0,13473
363,539.8,25.0,13495
364,540.88,25.0,13522
365,541.92,25.0,13548
366,542.68,25.0,13567
367,543.28,25.0,13582
368,543.84,25.0,13596
369,544.52,25.0,13613
370,545.44,25.0,13636
371,546.32,25.0,13658
372,547.08,25.0,13677
373,547.84,25.0,13696
374,548.56,25.0,13714
375,549.32,25.0,13733
376,550.28,25.0,13757
377,551.2,25.0,13780
378,551.84,25.0,13796
379,552.32,25.0,13808
380,552.76,25.0,13819
381,553.44,25.0,13836
382,554.44,25.0,13861
383,555.4,25.0,13885
384,556.12,25.0,13903
385,556.8,25.0,13920
386,557.44,25.0,13936
387,558.16,25.0,13954
388,559.16,25.0,13979
389,560.12,25.0,14003
390,561.24,25.0,14031
391,562.76,25.0,14069
392,564.24,25.0,14106
393,565.32,25.0,14133
394,566.16,25.0,14154
395,567.0,25.0,14175
396,567.6,25.0,14190
397,568.08,25.0,14202
398,568.52,25.0,14213
399,569.32,25.0,14233
400,570.32,25.0,14258
401,571.04,25.0,14276
402,571.6,25.0,14290
403,572.16,25.0,14304
404,572.8,25.0,14320
405,573.72,25.0,14343
406,574.6,25.0,14365
407,575.52,25.0,14388
408,576.68,25.0,14417
409,577.8,25.0,14445
410,578.96,25.0,14474
411,580.48,25.0,14512
412,581.96,25.0,14549
413,584.64,25.0,14616
414,589.4,25.0,14735
415,594.12,25.0,14853
416,596.56,25.0,14914
417,597.52,25.0,14938
418,598.44,25.0,14961
419,599.72,25.0,14993
420,601.72,25.0,15043
421,603.68,25.0,15092
422,604.84,25.0,15121
423,605.44,25.0,15136
424,606.0,25.0,15150
425,607.0,25.0,15175
426,608.68,25.0,15217
427,610.32,25.0,15258
428,611.52,25.0,15288
429,612.6,25.0,15315
430,613.64,25.0,15341
431,614.48,25.0,15362
432,615.28,25.0,15382
433,616.04,25.0,15401
434,616.88,25.0,15422
435,617.96,25.0,15449
436,619.0,25.0,15475
